"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","p_val_adj_plot","Significance","Assay","CellTypeDeep","Comparison"
1.93330281138652e-25,7.09945643782314,0.533,0.005,1.485820542663e-20,"Cadm1-203",1.485820542663e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.01114760284632e-25,5.23768830228382,0.567,0.01,1.54564737869151e-20,"Tmcc3-203",1.54564737869151e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.06721767480589e-25,6.4643997953127,0.533,0.005,1.58873947179532e-20,"Psg26-201",1.58873947179532e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.06721767480589e-25,5.68797008822718,0.533,0.005,1.58873947179532e-20,"Adgre1-201",1.58873947179532e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.14082359480533e-25,4.20820168420623,0.6,0.014,1.64530856555169e-20,"Galnt6-202",1.64530856555169e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.36323259138917e-25,4.42054692413618,0.533,0.005,1.81623877578623e-20,"Adam15-204",1.81623877578623e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.36323259138917e-25,4.42054692413618,0.533,0.005,1.81623877578623e-20,"Adam15-202",1.81623877578623e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.41721413078006e-25,4.20839412538267,0.6,0.014,1.85772574806971e-20,"Trio-201",1.85772574806971e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.43368932873959e-25,4.64684174708507,0.567,0.01,1.87038759670952e-20,"Tulp4-201",1.87038759670952e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.47168032095426e-25,3.43177588302498,0.733,0.039,1.89958519386619e-20,"Scpep1-201",1.89958519386619e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.52662272788261e-25,5.1616401550107,0.533,0.005,1.9418106312869e-20,"Cd109-201",1.9418106312869e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
2.56838820590065e-25,3.7599212990344,0.6,0.014,1.97390907176288e-20,"Agap1-201",1.97390907176288e-20,"Up","Isoform","Neutrophil-like Erythroid Cells","E19.5Semi-AllovsE12.5Semi-Allo"
